,ele_1,ele_2,EMD,mend_1,mend_2,mend_diff
2075,Na,Tm,0.08823529411764706,"(11.0, 'Na')","(21.0, 'Tm')",10.0
2076,Tm,Na,0.08823529411764706,"(21.0, 'Tm')","(11.0, 'Na')",10.0
2077,Na,Yb,0.06862745098039216,"(11.0, 'Na')","(17.0, 'Yb')",6.0
2078,Yb,Na,0.06862745098039216,"(17.0, 'Yb')","(11.0, 'Na')",6.0
2079,Na,Lu,0.0784313725490196,"(11.0, 'Na')","(20.0, 'Lu')",9.0
2080,Lu,Na,0.0784313725490196,"(20.0, 'Lu')","(11.0, 'Na')",9.0
2081,Na,Hf,0.38235294117647056,"(11.0, 'Na')","(50.0, 'Hf')",39.0
2082,Hf,Na,0.38235294117647056,"(50.0, 'Hf')","(11.0, 'Na')",39.0
2083,Na,Ta,0.4019607843137255,"(11.0, 'Na')","(52.0, 'Ta')",41.0
2084,Ta,Na,0.4019607843137255,"(52.0, 'Ta')","(11.0, 'Na')",41.0
2085,Na,W,0.45098039215686275,"(11.0, 'Na')","(55.0, 'W')",44.0
2086,W,Na,0.45098039215686275,"(55.0, 'W')","(11.0, 'Na')",44.0
2087,Na,Re,0.46078431372549017,"(11.0, 'Na')","(58.0, 'Re')",47.0
2088,Re,Na,0.46078431372549017,"(58.0, 'Re')","(11.0, 'Na')",47.0
2089,Na,Os,0.4803921568627451,"(11.0, 'Na')","(63.0, 'Os')",52.0
2090,Os,Na,0.4803921568627451,"(63.0, 'Os')","(11.0, 'Na')",52.0
2091,Na,Ir,0.5,"(11.0, 'Na')","(66.0, 'Ir')",55.0
2092,Ir,Na,0.5,"(66.0, 'Ir')","(11.0, 'Na')",55.0
2093,Na,Pt,0.5196078431372549,"(11.0, 'Na')","(68.0, 'Pt')",57.0
2094,Pt,Na,0.5196078431372549,"(68.0, 'Pt')","(11.0, 'Na')",57.0
2095,Na,Au,0.5392156862745098,"(11.0, 'Na')","(70.0, 'Au')",59.0
2096,Au,Na,0.5392156862745098,"(70.0, 'Au')","(11.0, 'Na')",59.0
2097,Na,Hg,0.6372549019607843,"(11.0, 'Na')","(74.0, 'Hg')",63.0
2098,Hg,Na,0.6372549019607843,"(74.0, 'Hg')","(11.0, 'Na')",63.0
2099,Na,Tl,0.6862745098039216,"(11.0, 'Na')","(78.0, 'Tl')",67.0
2100,Tl,Na,0.6862745098039216,"(78.0, 'Tl')","(11.0, 'Na')",67.0
2101,Na,Pb,0.696078431372549,"(11.0, 'Na')","(82.0, 'Pb')",71.0
