,ele_1,ele_2,mend_1,mend_2,euclid_dist,reciprocal_euclid_dist,pearson_corr,mend_diff
9958,Pt,Pa,"(68.0, 'Pt')","(46.0, 'Pa')",4.821714379602148,0.20739511328800703,0.21696061909843958,22.0
9959,Pa,Pt,"(46.0, 'Pa')","(68.0, 'Pt')",4.821714379602148,0.20739511328800703,0.21696061909843958,22.0
9960,Pt,U,"(68.0, 'Pt')","(45.0, 'U')",4.81715119780929,0.20759157413509732,0.28462149003125997,23.0
9961,U,Pt,"(45.0, 'U')","(68.0, 'Pt')",4.81715119780929,0.20759157413509732,0.28462149003125997,23.0
9962,Pt,Np,"(68.0, 'Pt')","(44.0, 'Np')",5.133022242310473,0.19481700113379607,0.3060724239226862,24.0
9963,Np,Pt,"(44.0, 'Np')","(68.0, 'Pt')",5.133022242310473,0.19481700113379607,0.3060724239226862,24.0
9964,Pt,Pu,"(68.0, 'Pt')","(43.0, 'Pu')",5.188091187812921,0.19274911789311813,0.3245459107129142,25.0
9965,Pu,Pt,"(43.0, 'Pu')","(68.0, 'Pt')",5.188091187812921,0.19274911789311813,0.3245459107129142,25.0
9966,Pt,Am,"(68.0, 'Pt')","(42.0, 'Am')",5.258951957942783,0.19015195575035904,0.34217649106019393,26.0
9967,Am,Pt,"(42.0, 'Am')","(68.0, 'Pt')",5.258951957942783,0.19015195575035904,0.34217649106019393,26.0
9968,Pt,Cm,"(68.0, 'Pt')","(41.0, 'Cm')",5.623820840700077,0.1778150528485747,0.21774494136417955,27.0
9969,Cm,Pt,"(41.0, 'Cm')","(68.0, 'Pt')",5.623820840700077,0.1778150528485747,0.21774494136417955,27.0
9970,Pt,Bk,"(68.0, 'Pt')","(40.0, 'Bk')",5.610720295203295,0.17823023558221532,0.221901207404806,28.0
9971,Bk,Pt,"(40.0, 'Bk')","(68.0, 'Pt')",5.610720295203295,0.17823023558221532,0.221901207404806,28.0
9972,Pt,Cf,"(68.0, 'Pt')","(39.0, 'Cf')",5.935716245840231,0.16847166518460233,0.2022687626772506,29.0
9973,Cf,Pt,"(39.0, 'Cf')","(68.0, 'Pt')",5.935716245840231,0.16847166518460233,0.2022687626772506,29.0
9974,Pt,Es,"(68.0, 'Pt')","(38.0, 'Es')",6.2374704970758845,0.16032139959119618,0.13205216472955558,30.0
9975,Es,Pt,"(38.0, 'Es')","(68.0, 'Pt')",6.2374704970758845,0.16032139959119618,0.13205216472955558,30.0
9976,Pt,Fm,"(68.0, 'Pt')","(37.0, 'Fm')",6.4013027263039755,0.15621820163118363,0.12184205124608324,31.0
9977,Fm,Pt,"(37.0, 'Fm')","(68.0, 'Pt')",6.4013027263039755,0.15621820163118363,0.12184205124608324,31.0
9978,Pt,Md,"(68.0, 'Pt')","(36.0, 'Md')",6.1503604756455506,0.16259209585516832,0.1989049140773162,32.0
9979,Md,Pt,"(36.0, 'Md')","(68.0, 'Pt')",6.1503604756455506,0.16259209585516832,0.1989049140773162,32.0
9980,Pt,No,"(68.0, 'Pt')","(35.0, 'No')",4.414298366739649,0.2265365675176571,0.23294341434255358,33.0
9981,No,Pt,"(35.0, 'No')","(68.0, 'Pt')",4.414298366739649,0.2265365675176571,0.23294341434255358,33.0
9982,Pt,Lr,"(68.0, 'Pt')","(34.0, 'Lr')",6.059288607422504,0.1650358754615221,0.15565483827166793,34.0
9983,Lr,Pt,"(34.0, 'Lr')","(68.0, 'Pt')",6.059288607422504,0.1650358754615221,0.15565483827166793,34.0
9984,Au,Au,"(70.0, 'Au')","(70.0, 'Au')",0.0,inf,0.9999999999999998,0.0
9985,Au,Hg,"(70.0, 'Au')","(74.0, 'Hg')",4.2237417484155735,0.23675689934762795,0.4372479795222946,4.0
9986,Hg,Au,"(74.0, 'Hg')","(70.0, 'Au')",4.2237417484155735,0.23675689934762795,0.4372479795222946,4.0
9987,Au,Tl,"(70.0, 'Au')","(78.0, 'Tl')",4.687919469005923,0.21331424454099054,0.39176734618992337,8.0
9988,Tl,Au,"(78.0, 'Tl')","(70.0, 'Au')",4.687919469005923,0.21331424454099054,0.39176734618992337,8.0
9989,Au,Pb,"(70.0, 'Au')","(82.0, 'Pb')",3.8761263901842127,0.25798952338921927,0.4959739412557985,12.0
9990,Pb,Au,"(82.0, 'Pb')","(70.0, 'Au')",3.8761263901842127,0.25798952338921927,0.4959739412557985,12.0
9991,Au,Bi,"(70.0, 'Au')","(87.0, 'Bi')",3.8398312216942543,0.2604281131811748,0.5031208188155316,17.0
9992,Bi,Au,"(87.0, 'Bi')","(70.0, 'Au')",3.8398312216942543,0.2604281131811748,0.5031208188155316,17.0
9993,Au,Po,"(70.0, 'Au')","(91.0, 'Po')",5.666698750176107,0.1764695891005186,0.1672431596803517,21.0
9994,Po,Au,"(91.0, 'Po')","(70.0, 'Au')",5.666698750176107,0.1764695891005186,0.1672431596803517,21.0
9995,Au,At,"(70.0, 'Au')","(96.0, 'At')",3.9167775090364256,0.2553119235629016,0.2785498665463614,26.0
9996,At,Au,"(96.0, 'At')","(70.0, 'Au')",3.9167775090364256,0.2553119235629016,0.2785498665463614,26.0
9997,Au,Rn,"(70.0, 'Au')","(6.0, 'Rn')",5.662284847537178,0.176607151869965,0.23925209591167315,64.0
9998,Rn,Au,"(6.0, 'Rn')","(70.0, 'Au')",5.662284847537178,0.176607151869965,0.23925209591167315,64.0
9999,Au,Fr,"(70.0, 'Au')","(7.0, 'Fr')",5.884276377551012,0.16994443085900596,0.17012726385776256,63.0
10000,Fr,Au,"(7.0, 'Fr')","(70.0, 'Au')",5.884276377551012,0.16994443085900596,0.17012726385776256,63.0
10001,Au,Ra,"(70.0, 'Au')","(13.0, 'Ra')",5.4555783671990685,0.18329862256444993,0.21402390401742744,57.0
10002,Ra,Au,"(13.0, 'Ra')","(70.0, 'Au')",5.4555783671990685,0.18329862256444993,0.21402390401742744,57.0
10003,Au,Ac,"(70.0, 'Au')","(48.0, 'Ac')",4.729843447858668,0.21142348811834943,0.3114322943141289,22.0
10004,Ac,Au,"(48.0, 'Ac')","(70.0, 'Au')",4.729843447858668,0.21142348811834943,0.3114322943141289,22.0
10005,Au,Th,"(70.0, 'Au')","(47.0, 'Th')",4.648531705499094,0.21512169075173254,0.3665787926819352,23.0
10006,Th,Au,"(47.0, 'Th')","(70.0, 'Au')",4.648531705499094,0.21512169075173254,0.3665787926819352,23.0
10007,Au,Pa,"(70.0, 'Au')","(46.0, 'Pa')",4.778788621873671,0.20925805243252613,0.19143093322195914,24.0
10008,Pa,Au,"(46.0, 'Pa')","(70.0, 'Au')",4.778788621873671,0.20925805243252613,0.19143093322195914,24.0
10009,Au,U,"(70.0, 'Au')","(45.0, 'U')",4.656257622855268,0.21476474907477072,0.3145999401568565,25.0
10010,U,Au,"(45.0, 'U')","(70.0, 'Au')",4.656257622855268,0.21476474907477072,0.3145999401568565,25.0
10011,Au,Np,"(70.0, 'Au')","(44.0, 'Np')",4.968297237909978,0.20127620231125137,0.3374229512467648,26.0
10012,Np,Au,"(44.0, 'Np')","(70.0, 'Au')",4.968297237909978,0.20127620231125137,0.3374229512467648,26.0
10013,Au,Pu,"(70.0, 'Au')","(43.0, 'Pu')",5.112244493294293,0.19560879791874103,0.32708647954084447,27.0
10014,Pu,Au,"(43.0, 'Pu')","(70.0, 'Au')",5.112244493294293,0.19560879791874103,0.32708647954084447,27.0
10015,Au,Am,"(70.0, 'Au')","(42.0, 'Am')",5.271390301649864,0.18970327423621342,0.3305114987649653,28.0
10016,Am,Au,"(42.0, 'Am')","(70.0, 'Au')",5.271390301649864,0.18970327423621342,0.3305114987649653,28.0
10017,Au,Cm,"(70.0, 'Au')","(41.0, 'Cm')",5.340021096298879,0.18726517778985763,0.2849515382665181,29.0
10018,Cm,Au,"(41.0, 'Cm')","(70.0, 'Au')",5.340021096298879,0.18726517778985763,0.2849515382665181,29.0
10019,Au,Bk,"(70.0, 'Au')","(40.0, 'Bk')",5.566542389700219,0.17964472916802024,0.21874848622420717,30.0
10020,Bk,Au,"(40.0, 'Bk')","(70.0, 'Au')",5.566542389700219,0.17964472916802024,0.21874848622420717,30.0
10021,Au,Cf,"(70.0, 'Au')","(39.0, 'Cf')",5.7640823302282165,0.17348815348381866,0.23406098326851074,31.0
10022,Cf,Au,"(39.0, 'Cf')","(70.0, 'Au')",5.7640823302282165,0.17348815348381866,0.23406098326851074,31.0
10023,Au,Es,"(70.0, 'Au')","(38.0, 'Es')",6.035879526035506,0.1656759376469565,0.16271519785611083,32.0
10024,Es,Au,"(38.0, 'Es')","(70.0, 'Au')",6.035879526035506,0.1656759376469565,0.16271519785611083,32.0
10025,Au,Fm,"(70.0, 'Au')","(37.0, 'Fm')",6.25674914690423,0.15982740821482172,0.1578622599973967,33.0
10026,Fm,Au,"(37.0, 'Fm')","(70.0, 'Au')",6.25674914690423,0.15982740821482172,0.1578622599973967,33.0
10027,Au,Md,"(70.0, 'Au')","(36.0, 'Md')",6.014612551179023,0.16626174861487522,0.22040955849895041,34.0
10028,Md,Au,"(36.0, 'Md')","(70.0, 'Au')",6.014612551179023,0.16626174861487522,0.22040955849895041,34.0
10029,Au,No,"(70.0, 'Au')","(35.0, 'No')",4.303204658110518,0.23238495015923485,0.22357876210800948,35.0
10030,No,Au,"(35.0, 'No')","(70.0, 'Au')",4.303204658110518,0.23238495015923485,0.22357876210800948,35.0
10031,Au,Lr,"(70.0, 'Au')","(34.0, 'Lr')",5.835317744455549,0.17137027387243037,0.2007917632782952,36.0
10032,Lr,Au,"(34.0, 'Lr')","(70.0, 'Au')",5.835317744455549,0.17137027387243037,0.2007917632782952,36.0
10033,Hg,Hg,"(74.0, 'Hg')","(74.0, 'Hg')",0.0,inf,0.9999999999999999,0.0
10034,Hg,Tl,"(74.0, 'Hg')","(78.0, 'Tl')",3.5078642966049425,0.2850737415834021,0.6975008546720599,4.0
10035,Tl,Hg,"(78.0, 'Tl')","(74.0, 'Hg')",3.5078642966049425,0.2850737415834021,0.6975008546720599,4.0
10036,Hg,Pb,"(74.0, 'Hg')","(82.0, 'Pb')",3.3193135308304385,0.30126711162166603,0.6813830674777239,8.0
10037,Pb,Hg,"(82.0, 'Pb')","(74.0, 'Hg')",3.3193135308304385,0.30126711162166603,0.6813830674777239,8.0
10038,Hg,Bi,"(74.0, 'Hg')","(87.0, 'Bi')",3.729648575474024,0.268121776023604,0.5981608352667915,13.0
10039,Bi,Hg,"(87.0, 'Bi')","(74.0, 'Hg')",3.729648575474024,0.268121776023604,0.5981608352667915,13.0
10040,Hg,Po,"(74.0, 'Hg')","(91.0, 'Po')",5.211762762911413,0.19187366069620876,0.38114657491632165,17.0
10041,Po,Hg,"(91.0, 'Po')","(74.0, 'Hg')",5.211762762911413,0.19187366069620876,0.38114657491632165,17.0
10042,Hg,At,"(74.0, 'Hg')","(96.0, 'At')",4.581231084967125,0.21828193807586024,0.20734804052101088,22.0
10043,At,Hg,"(96.0, 'At')","(74.0, 'Hg')",4.581231084967125,0.21828193807586024,0.20734804052101088,22.0
10044,Hg,Rn,"(74.0, 'Hg')","(6.0, 'Rn')",5.433450329804867,0.18404511669400195,0.36579573037186486,68.0
10045,Rn,Hg,"(6.0, 'Rn')","(74.0, 'Hg')",5.433450329804867,0.18404511669400195,0.36579573037186486,68.0
10046,Hg,Fr,"(74.0, 'Hg')","(7.0, 'Fr')",5.620240145909132,0.1779283400777601,0.3182727596253534,67.0
10047,Fr,Hg,"(7.0, 'Fr')","(74.0, 'Hg')",5.620240145909132,0.1779283400777601,0.3182727596253534,67.0
10048,Hg,Ra,"(74.0, 'Hg')","(13.0, 'Ra')",5.621052777674173,0.1779026170990287,0.2591179013198398,61.0
10049,Ra,Hg,"(13.0, 'Ra')","(74.0, 'Hg')",5.621052777674173,0.1779026170990287,0.2591179013198398,61.0
10050,Hg,Ac,"(74.0, 'Hg')","(48.0, 'Ac')",5.2868633329774255,0.18914807079698534,0.2452837416768773,26.0
10051,Ac,Hg,"(48.0, 'Ac')","(74.0, 'Hg')",5.2868633329774255,0.18914807079698534,0.2452837416768773,26.0
10052,Hg,Th,"(74.0, 'Hg')","(47.0, 'Th')",4.593637002891509,0.2176924296304955,0.44945539513857136,27.0
10053,Th,Hg,"(47.0, 'Th')","(74.0, 'Hg')",4.593637002891509,0.2176924296304955,0.44945539513857136,27.0
10054,Hg,Pa,"(74.0, 'Hg')","(46.0, 'Pa')",4.939224250987848,0.20246094309242985,0.2697576046009884,28.0
10055,Pa,Hg,"(46.0, 'Pa')","(74.0, 'Hg')",4.939224250987848,0.20246094309242985,0.2697576046009884,28.0
10056,Hg,U,"(74.0, 'Hg')","(45.0, 'U')",4.593253055610297,0.217710626410748,0.4172475523326861,29.0
10057,U,Hg,"(45.0, 'U')","(74.0, 'Hg')",4.593253055610297,0.217710626410748,0.4172475523326861,29.0
10058,Hg,Np,"(74.0, 'Hg')","(44.0, 'Np')",5.210862450886194,0.1919068118618125,0.34513239853532934,30.0
10059,Np,Hg,"(44.0, 'Np')","(74.0, 'Hg')",5.210862450886194,0.1919068118618125,0.34513239853532934,30.0
10060,Hg,Pu,"(74.0, 'Hg')","(43.0, 'Pu')",5.301592301421089,0.18862257660438175,0.34900099705269316,31.0
10061,Pu,Hg,"(43.0, 'Pu')","(74.0, 'Hg')",5.301592301421089,0.18862257660438175,0.34900099705269316,31.0
10062,Hg,Am,"(74.0, 'Hg')","(42.0, 'Am')",5.5700307680914145,0.1795322219275016,0.315007715196915,32.0
10063,Am,Hg,"(42.0, 'Am')","(74.0, 'Hg')",5.5700307680914145,0.1795322219275016,0.315007715196915,32.0
10064,Hg,Cm,"(74.0, 'Hg')","(41.0, 'Cm')",5.988193996687779,0.16699525776104202,0.18353394258737976,33.0
10065,Cm,Hg,"(41.0, 'Cm')","(74.0, 'Hg')",5.988193996687779,0.16699525776104202,0.18353394258737976,33.0
10066,Hg,Bk,"(74.0, 'Hg')","(40.0, 'Bk')",6.012783266672421,0.16631233085396366,0.17720329605358914,34.0
10067,Bk,Hg,"(40.0, 'Bk')","(74.0, 'Hg')",6.012783266672421,0.16631233085396366,0.17720329605358914,34.0
10068,Hg,Cf,"(74.0, 'Hg')","(39.0, 'Cf')",6.205017665237253,0.16115989574088738,0.19074470428215,35.0
10069,Cf,Hg,"(39.0, 'Cf')","(74.0, 'Hg')",6.205017665237253,0.16115989574088738,0.19074470428215,35.0
10070,Hg,Es,"(74.0, 'Hg')","(38.0, 'Es')",6.11426991588628,0.1635518244626018,0.22903596483258318,36.0
10071,Es,Hg,"(38.0, 'Es')","(74.0, 'Hg')",6.11426991588628,0.1635518244626018,0.22903596483258318,36.0
10072,Hg,Fm,"(74.0, 'Hg')","(37.0, 'Fm')",6.192416636840463,0.16148784208909867,0.24587165923716908,37.0
