,ele_1,ele_2,mend_1,mend_2,euclid_dist,reciprocal_euclid_dist,pearson_corr,mend_diff
4989,Np,Ge,"(44.0, 'Np')","(84.0, 'Ge')",1.4722558464092792,0.6792297700422956,-0.1879454497075852,40.0
4990,Ge,Pu,"(84.0, 'Ge')","(43.0, 'Pu')",1.3270469487468264,0.753552842229382,-0.14418627955765168,41.0
4991,Pu,Ge,"(43.0, 'Pu')","(84.0, 'Ge')",1.3270469487468264,0.753552842229382,-0.14418627955765168,41.0
4992,As,As,"(89.0, 'As')","(89.0, 'As')",0.0,inf,1.0,0.0
4993,As,Se,"(89.0, 'As')","(93.0, 'Se')",0.7193229870010758,1.3901960844725576,0.5165659515357489,4.0
4994,Se,As,"(93.0, 'Se')","(89.0, 'As')",0.7193229870010758,1.3901960844725576,0.5165659515357489,4.0
4995,As,Br,"(89.0, 'As')","(98.0, 'Br')",0.77593319729764,1.2887707388763912,0.37655759097169794,9.0
4996,Br,As,"(98.0, 'Br')","(89.0, 'As')",0.77593319729764,1.2887707388763912,0.37655759097169794,9.0
4997,As,Kr,"(89.0, 'As')","(4.0, 'Kr')",2.009412066725264,0.4976580048261074,0.2500894322054037,85.0
4998,Kr,As,"(4.0, 'Kr')","(89.0, 'As')",2.009412066725264,0.4976580048261074,0.2500894322054037,85.0
4999,As,Rb,"(89.0, 'As')","(9.0, 'Rb')",0.9449224062742932,1.058287953973777,0.23621144353778972,80.0
5000,Rb,As,"(9.0, 'Rb')","(89.0, 'As')",0.9449224062742932,1.058287953973777,0.23621144353778972,80.0
5001,As,Sr,"(89.0, 'As')","(15.0, 'Sr')",1.4869788150174759,0.6725045373213655,-0.44034381892631635,74.0
5002,Sr,As,"(15.0, 'Sr')","(89.0, 'As')",1.4869788150174759,0.6725045373213655,-0.44034381892631635,74.0
5003,As,Y,"(89.0, 'As')","(25.0, 'Y')",1.6248015743421476,0.6154597680057527,-0.4928769324981889,64.0
5004,Y,As,"(25.0, 'Y')","(89.0, 'As')",1.6248015743421476,0.6154597680057527,-0.4928769324981889,64.0
5005,As,Zr,"(89.0, 'As')","(49.0, 'Zr')",1.355336753020605,0.7378240114652872,-0.2865542688543223,40.0
5006,Zr,As,"(49.0, 'Zr')","(89.0, 'As')",1.355336753020605,0.7378240114652872,-0.2865542688543223,40.0
5007,As,Nb,"(89.0, 'As')","(53.0, 'Nb')",1.247216977592764,0.8017851087387264,-0.20844194532875626,36.0
5008,Nb,As,"(53.0, 'Nb')","(89.0, 'As')",1.247216977592764,0.8017851087387264,-0.20844194532875626,36.0
5009,As,Mo,"(89.0, 'As')","(56.0, 'Mo')",1.117805261853002,0.8946102099593675,0.1525862087630682,33.0
5010,Mo,As,"(56.0, 'Mo')","(89.0, 'As')",1.117805261853002,0.8946102099593675,0.1525862087630682,33.0
5011,As,Tc,"(89.0, 'As')","(59.0, 'Tc')",1.4716865080394672,0.679492537668343,-0.06392548855121971,30.0
5012,Tc,As,"(59.0, 'Tc')","(89.0, 'As')",1.4716865080394672,0.679492537668343,-0.06392548855121971,30.0
5013,As,Ru,"(89.0, 'As')","(62.0, 'Ru')",1.587413556248944,0.6299555626594235,0.15306110366607045,27.0
