,ele_1,ele_2,pearson_corr,mend_1,mend_2,mend_diff
427,Li,Al,0.4229533980795762,"(12.0, 'Li')","(80.0, 'Al')",68.0
428,Al,Li,0.4229533980795762,"(80.0, 'Al')","(12.0, 'Li')",68.0
429,Li,Si,0.3318535395259956,"(12.0, 'Li')","(85.0, 'Si')",73.0
430,Si,Li,0.3318535395259956,"(85.0, 'Si')","(12.0, 'Li')",73.0
431,Li,P,0.30906574469361503,"(12.0, 'Li')","(90.0, 'P')",78.0
432,P,Li,0.30906574469361503,"(90.0, 'P')","(12.0, 'Li')",78.0
433,Li,S,0.35005445457552253,"(12.0, 'Li')","(94.0, 'S')",82.0
434,S,Li,0.35005445457552253,"(94.0, 'S')","(12.0, 'Li')",82.0
435,Li,Cl,0.5231417967043752,"(12.0, 'Li')","(99.0, 'Cl')",87.0
436,Cl,Li,0.5231417967043752,"(99.0, 'Cl')","(12.0, 'Li')",87.0
437,Li,Ar,0.5277273729664931,"(12.0, 'Li')","(3.0, 'Ar')",9.0
438,Ar,Li,0.5277273729664931,"(3.0, 'Ar')","(12.0, 'Li')",9.0
439,Li,K,0.7108691930980566,"(12.0, 'Li')","(10.0, 'K')",2.0
440,K,Li,0.7108691930980566,"(10.0, 'K')","(12.0, 'Li')",2.0
441,Li,Ca,0.48567074736518767,"(12.0, 'Li')","(16.0, 'Ca')",4.0
442,Ca,Li,0.48567074736518767,"(16.0, 'Ca')","(12.0, 'Li')",4.0
443,Li,Sc,0.12037480631891245,"(12.0, 'Li')","(19.0, 'Sc')",7.0
444,Sc,Li,0.12037480631891245,"(19.0, 'Sc')","(12.0, 'Li')",7.0
445,Li,Ti,0.17817021706875558,"(12.0, 'Li')","(51.0, 'Ti')",39.0
446,Ti,Li,0.17817021706875558,"(51.0, 'Ti')","(12.0, 'Li')",39.0
447,Li,V,0.1967424979521111,"(12.0, 'Li')","(54.0, 'V')",42.0
448,V,Li,0.1967424979521111,"(54.0, 'V')","(12.0, 'Li')",42.0
449,Li,Cr,0.03841008100117603,"(12.0, 'Li')","(57.0, 'Cr')",45.0
450,Cr,Li,0.03841008100117603,"(57.0, 'Cr')","(12.0, 'Li')",45.0
451,Li,Mn,0.1909021762297693,"(12.0, 'Li')","(60.0, 'Mn')",48.0
452,Mn,Li,0.1909021762297693,"(60.0, 'Mn')","(12.0, 'Li')",48.0
453,Li,Fe,0.024562815053362164,"(12.0, 'Li')","(61.0, 'Fe')",49.0
