,task_id,pretty_formula,spacegroup.symbol,spacegroup.crystal_system,e_above_hull,structure.lattice.volume,density,band_gap,final_energy,cat_oxi_state,an_oxi_state,coordination,coordination_num,coordination_env
615,mp-10759,GeSe,Fm-3m,cubic,0.0,45.467993810986975,5.536591817599165,0.4400999999999997,-8.53162882,2.0,-2.0,"[6, 'octahedral']",6.0,octahedral
616,mp-700,GeSe,Pnma,orthorhombic,0.040503418750000186,196.59538287435973,5.121945771380412,0.8969,-33.80248793,2.0,-2.0,"[3, 'T-shaped']",3.0,T-shaped
617,mp-938,GeTe,R3m,trigonal,0.0,56.264958374993846,5.9096523360046005,0.8215000000000003,-7.95077254,2.0,-2.0,"[6, 'octahedral']",6.0,octahedral
618,mp-2612,GeTe,Fm-3m,cubic,0.02030869999999929,54.23188312267842,6.1311966974080265,0.6197999999999997,-7.91015514,2.0,-2.0,"[6, 'octahedral']",6.0,octahedral
619,mp-1080459,GeTe,Pnma,orthorhombic,0.052865197499999184,229.97363020139647,5.7833820756718195,0.2008000000000001,-31.38016858,2.0,-2.0,"[3, 'T-shaped']",3.0,T-shaped
620,mp-628781,GeTe,Pbcn,orthorhombic,0.11449813937499931,604.861569414349,4.39778434616608,0.0,-61.77421009,2.0,-2.0,"[3, '3-coordinate']",3.0,3-coordinate
621,mp-672698,GeTe,Pm-3m,cubic,0.32564381499999895,50.82811855105344,6.541779475114815,0.0,-7.29948491,2.0,-2.0,"[8, 'body-centered cubic']",8.0,body-centered cubic
622,mp-632229,HBr,Cmc2_1,orthorhombic,0.0,113.0878100246021,2.376161273176409,4.944599999999999,-11.06553323,1.0,-1.0,"[1, 'single-bond']",1.0,single-bond
623,mp-634105,HBr,Fmmm,orthorhombic,0.31040054250000004,57.62704270120794,2.3314997790365335,1.4995,-4.91196553,1.0,-1.0,"[2, 'linear']",2.0,linear
624,mp-23903,HBr,Fm-3m,cubic,1.1372113175,29.262035782695108,4.591527340139851,0.0,-3.25834398,1.0,-1.0,"[0, '6-coordinate']",0.0,6-coordinate
625,mp-1079612,HC,I2_13,cubic,0.31920042749999933,40.27854397166951,2.146846254343923,5.004100000000001,-49.19812798,0.0,0.0,"[1, 'single-bond']",1.0,single-bond
626,mp-632326,HCl,Cmc2_1,orthorhombic,0.0,99.4674275510652,1.2173797345643775,5.9709,-12.51738605,1.0,-1.0,"[1, 'single-bond']",1.0,single-bond
627,mp-634101,HCl,I4/mmm,tetragonal,0.3282482725000002,46.90876325963437,1.2906930617601304,2.9455,-5.60219648,1.0,-1.0,"[2, 'linear']",2.0,linear
