Pretty Formula,M,X
AlP,Al3+,P3-
AlS,Al1+,S1-
AlS,Al2+,S2-
AlCl,Al1+,Cl1-
AlV,Al1+,V1-
AlCr,Al1+,Cr1-
AlCr,Al2+,Cr2-
AlFe,Al1+,Fe1-
AlFe,Al2+,Fe2-
AlCo,Al1+,Co1-
AlNi,Al1+,Ni1-
AlGe,Al1+,Ge1-
AlGe,Al2+,Ge2-
AlGe,Al3+,Ge3-
AlAs,Al3+,As3-
AlSe,Al2+,Se2-
AlBr,Al1+,Br1-
AlMo,Al1+,Mo1-
AlMo,Al2+,Mo2-
AlRu,Al2+,Ru2-
AlRh,Al1+,Rh1-
AlSb,Al3+,Sb3-
AlTe,Al2+,Te2-
AlI,Al1+,I1-
AlW,Al1+,W1-
AlW,Al2+,W2-
AlRe,Al1+,Re1-
AlRe,Al3+,Re3-
AlOs,Al1+,Os1-
AlOs,Al2+,Os2-
AlIr,Al1+,Ir1-
AlIr,Al3+,Ir3-
AlPt,Al1+,Pt1-
AlPt,Al2+,Pt2-
AlAu,Al1+,Au1-
AlTl,Al1+,Tl1-
AlBi,Al3+,Bi3-
SiH,Si1+,H1-
LiSi,Si1-,Li1+
BeSi,Si2-,Be2+
BeSi,Si1-,Be1+
SiC,Si1+,C1-
SiC,Si2+,C2-
SiC,Si3+,C3-
SiC,Si4+,C4-
SiN,Si1+,N1-
SiN,Si2+,N2-
SiN,Si3+,N3-
SiO,Si1+,O1-
SiO,Si2+,O2-
SiF,Si1+,F1-
NaSi,Si1-,Na1+
MgSi,Si2-,Mg2+
MgSi,Si1-,Mg1+
AlSi,Si3-,Al3+
AlSi,Si2-,Al2+
AlSi,Si1-,Al1+
SiP,Si1+,P1-
SiP,Si2+,P2-
SiP,Si3+,P3-
SiS,Si1+,S1-
SiS,Si2+,S2-
SiCl,Si1+,Cl1-
KSi,Si1-,K1+
CaSi,Si2-,Ca2+
CaSi,Si1-,Ca1+
ScSi,Si3-,Sc3+
ScSi,Si2-,Sc2+
ScSi,Si1-,Sc1+
TiSi,Si4-,Ti4+
TiSi,Si3-,Ti3+
TiSi,Si2-,Ti2+
TiSi,Si1-,Ti1+
VSi,Si4-,V4+
VSi,Si3-,V3+
VSi,Si2-,V2+
VSi,Si1-,V1+
CrSi,Si4-,Cr4+
CrSi,Si3-,Cr3+
CrSi,Si2-,Cr2+
CrSi,Si1-,Cr1+
MnSi,Si4-,Mn4+
MnSi,Si3-,Mn3+
MnSi,Si2-,Mn2+
MnSi,Si1-,Mn1+
FeSi,Si4-,Fe4+
FeSi,Si3-,Fe3+
FeSi,Si2-,Fe2+
FeSi,Si1-,Fe1+
CoSi,Si4-,Co4+
CoSi,Si3-,Co3+
CoSi,Si2-,Co2+
CoSi,Si1-,Co1+
SiNi,Si1+,Ni1-
ZnSi,Si2-,Zn2+
ZnSi,Si1-,Zn1+
GaSi,Si3-,Ga3+
GaSi,Si2-,Ga2+
GaSi,Si1-,Ga1+
SiGe,Si1+,Ge1-
SiGe,Si2+,Ge2-
SiGe,Si3+,Ge3-
SiGe,Si4+,Ge4-
SiAs,Si3+,As3-
SiSe,Si2+,Se2-
SiBr,Si1+,Br1-
RbSi,Si1-,Rb1+
SrSi,Si2-,Sr2+
SrSi,Si1-,Sr1+
YSi,Si3-,Y3+
YSi,Si2-,Y2+
YSi,Si1-,Y1+
ZrSi,Si4-,Zr4+
ZrSi,Si3-,Zr3+
ZrSi,Si2-,Zr2+
ZrSi,Si1-,Zr1+
NbSi,Si4-,Nb4+
NbSi,Si3-,Nb3+
NbSi,Si2-,Nb2+
NbSi,Si1-,Nb1+
SiMo,Si1+,Mo1-
SiMo,Si2+,Mo2-
SiRu,Si2+,Ru2-
SiRh,Si1+,Rh1-
CdSi,Si2-,Cd2+
CdSi,Si1-,Cd1+
InSi,Si3-,In3+
InSi,Si2-,In2+
InSi,Si1-,In1+
SiSn,Si4+,Sn4-
SiSb,Si3+,Sb3-
SiTe,Si2+,Te2-
SiI,Si1+,I1-
CsSi,Si1-,Cs1+
BaSi,Si2-,Ba2+
LaSi,Si3-,La3+
LaSi,Si2-,La2+
CeSi,Si4-,Ce4+
CeSi,Si3-,Ce3+
CeSi,Si2-,Ce2+
PrSi,Si4-,Pr4+
PrSi,Si3-,Pr3+
PrSi,Si2-,Pr2+
NdSi,Si4-,Nd4+
NdSi,Si3-,Nd3+
NdSi,Si2-,Nd2+
SmSi,Si3-,Sm3+
SmSi,Si2-,Sm2+
EuSi,Si3-,Eu3+
EuSi,Si2-,Eu2+
GdSi,Si3-,Gd3+
GdSi,Si2-,Gd2+
GdSi,Si1-,Gd1+
TbSi,Si4-,Tb4+
