Pretty Formula,M,X
NbRe,Nb1+,Re1-
NbRe,Nb3+,Re3-
NbOs,Nb1+,Os1-
NbOs,Nb2+,Os2-
NbIr,Nb1+,Ir1-
NbIr,Nb3+,Ir3-
NbPt,Nb1+,Pt1-
NbPt,Nb2+,Pt2-
NbAu,Nb1+,Au1-
NbTl,Nb1+,Tl1-
NbPb,Nb4+,Pb4-
NbBi,Nb3+,Bi3-
MoH,Mo1+,H1-
LiMo,Mo1-,Li1+
BeMo,Mo2-,Be2+
BeMo,Mo1-,Be1+
BMo,Mo2-,B2+
BMo,Mo1-,B1+
MoC,Mo1+,C1-
MoC,Mo2+,C2-
MoC,Mo3+,C3-
MoC,Mo4+,C4-
MoN,Mo1+,N1-
MoN,Mo2+,N2-
MoN,Mo3+,N3-
MoO,Mo1+,O1-
MoO,Mo2+,O2-
MoF,Mo1+,F1-
NaMo,Mo1-,Na1+
MgMo,Mo2-,Mg2+
MgMo,Mo1-,Mg1+
AlMo,Mo2-,Al2+
AlMo,Mo1-,Al1+
SiMo,Mo2-,Si2+
SiMo,Mo1-,Si1+
MoP,Mo1+,P1-
MoP,Mo2+,P2-
MoP,Mo3+,P3-
MoS,Mo1+,S1-
MoS,Mo2+,S2-
MoCl,Mo1+,Cl1-
KMo,Mo1-,K1+
CaMo,Mo2-,Ca2+
CaMo,Mo1-,Ca1+
ScMo,Mo2-,Sc2+
ScMo,Mo1-,Sc1+
TiMo,Mo2-,Ti2+
TiMo,Mo1-,Ti1+
VMo,Mo2-,V2+
VMo,Mo1-,V1+
CrMo,Mo2-,Cr2+
CrMo,Mo1-,Cr1+
MnMo,Mo2-,Mn2+
MnMo,Mo1-,Mn1+
FeMo,Mo2-,Fe2+
FeMo,Mo1-,Fe1+
CoMo,Mo2-,Co2+
CoMo,Mo1-,Co1+
NiMo,Mo2-,Ni2+
NiMo,Mo1-,Ni1+
CuMo,Mo2-,Cu2+
CuMo,Mo1-,Cu1+
ZnMo,Mo2-,Zn2+
ZnMo,Mo1-,Zn1+
GaMo,Mo2-,Ga2+
GaMo,Mo1-,Ga1+
GeMo,Mo2-,Ge2+
GeMo,Mo1-,Ge1+
MoAs,Mo3+,As3-
MoSe,Mo2+,Se2-
MoBr,Mo1+,Br1-
RbMo,Mo1-,Rb1+
SrMo,Mo2-,Sr2+
SrMo,Mo1-,Sr1+
YMo,Mo2-,Y2+
YMo,Mo1-,Y1+
ZrMo,Mo2-,Zr2+
ZrMo,Mo1-,Zr1+
NbMo,Mo2-,Nb2+
NbMo,Mo1-,Nb1+
MoRu,Mo2+,Ru2-
MoRh,Mo1+,Rh1-
AgMo,Mo2-,Ag2+
AgMo,Mo1-,Ag1+
CdMo,Mo2-,Cd2+
CdMo,Mo1-,Cd1+
InMo,Mo2-,In2+
InMo,Mo1-,In1+
SnMo,Mo2-,Sn2+
TeMo,Mo2-,Te2+
MoI,Mo1+,I1-
CsMo,Mo1-,Cs1+
BaMo,Mo2-,Ba2+
LaMo,Mo2-,La2+
CeMo,Mo2-,Ce2+
PrMo,Mo2-,Pr2+
NdMo,Mo2-,Nd2+
SmMo,Mo2-,Sm2+
EuMo,Mo2-,Eu2+
GdMo,Mo2-,Gd2+
GdMo,Mo1-,Gd1+
TbMo,Mo2-,Tb2+
TbMo,Mo1-,Tb1+
DyMo,Mo2-,Dy2+
HoMo,Mo2-,Ho2+
ErMo,Mo2-,Er2+
TmMo,Mo2-,Tm2+
YbMo,Mo2-,Yb2+
HfMo,Mo2-,Hf2+
TaMo,Mo2-,Ta2+
MoW,Mo2-,W2+
MoW,Mo1-,W1+
ReMo,Mo2-,Re2+
ReMo,Mo1-,Re1+
MoOs,Mo1+,Os1-
MoOs,Mo2+,Os2-
MoIr,Mo1+,Ir1-
MoIr,Mo3+,Ir3-
MoPt,Mo1+,Pt1-
MoPt,Mo2+,Pt2-
MoAu,Mo1+,Au1-
HgMo,Mo2-,Hg2+
HgMo,Mo1-,Hg1+
TlMo,Mo1-,Tl1+
MoPb,Mo2-,Pb2+
BiMo,Mo1-,Bi1+
BeRu,Ru2-,Be2+
BRu,Ru2-,B2+
RuC,Ru1+,C1-
RuC,Ru2+,C2-
RuC,Ru3+,C3-
RuC,Ru4+,C4-
RuN,Ru1+,N1-
RuN,Ru2+,N2-
RuN,Ru3+,N3-
RuO,Ru1+,O1-
RuO,Ru2+,O2-
RuF,Ru1+,F1-
MgRu,Ru2-,Mg2+
AlRu,Ru2-,Al2+
SiRu,Ru2-,Si2+
PRu,Ru2-,P2+
RuS,Ru1+,S1-
RuS,Ru2+,S2-
RuCl,Ru1+,Cl1-
CaRu,Ru2-,Ca2+
ScRu,Ru2-,Sc2+
TiRu,Ru2-,Ti2+
VRu,Ru2-,V2+
CrRu,Ru2-,Cr2+
MnRu,Ru2-,Mn2+
FeRu,Ru2-,Fe2+
CoRu,Ru2-,Co2+
NiRu,Ru2-,Ni2+
CuRu,Ru2-,Cu2+
ZnRu,Ru2-,Zn2+
GaRu,Ru2-,Ga2+
GeRu,Ru2-,Ge2+
AsRu,Ru2-,As2+
RuSe,Ru2+,Se2-
RuBr,Ru1+,Br1-
SrRu,Ru2-,Sr2+
YRu,Ru2-,Y2+
ZrRu,Ru2-,Zr2+
NbRu,Ru2-,Nb2+
MoRu,Ru2-,Mo2+
RuRh,Ru1+,Rh1-
AgRu,Ru2-,Ag2+
CdRu,Ru2-,Cd2+
InRu,Ru2-,In2+
SnRu,Ru2-,Sn2+
TeRu,Ru2-,Te2+
RuI,Ru1+,I1-
BaRu,Ru2-,Ba2+
LaRu,Ru2-,La2+
CeRu,Ru2-,Ce2+
PrRu,Ru2-,Pr2+
NdRu,Ru2-,Nd2+
SmRu,Ru2-,Sm2+
EuRu,Ru2-,Eu2+
GdRu,Ru2-,Gd2+
TbRu,Ru2-,Tb2+
DyRu,Ru2-,Dy2+
HoRu,Ru2-,Ho2+
ErRu,Ru2-,Er2+
TmRu,Ru2-,Tm2+
YbRu,Ru2-,Yb2+
HfRu,Ru2-,Hf2+
TaRu,Ru2-,Ta2+
RuW,Ru2-,W2+
ReRu,Ru2-,Re2+
RuAu,Ru1+,Au1-
HgRu,Ru2-,Hg2+
RuPb,Ru2-,Pb2+
HRh,Rh1-,H1+
LiRh,Rh1-,Li1+
BeRh,Rh1-,Be1+
BRh,Rh1-,B1+
RhC,Rh1+,C1-
RhC,Rh2+,C2-
RhC,Rh3+,C3-
RhC,Rh4+,C4-
RhN,Rh1+,N1-
RhN,Rh2+,N2-
RhN,Rh3+,N3-
RhO,Rh1+,O1-
RhO,Rh2+,O2-
RhF,Rh1+,F1-
NaRh,Rh1-,Na1+
MgRh,Rh1-,Mg1+
AlRh,Rh1-,Al1+
SiRh,Rh1-,Si1+
PRh,Rh1-,P1+
RhS,Rh1+,S1-
RhS,Rh2+,S2-
RhCl,Rh1+,Cl1-
KRh,Rh1-,K1+
CaRh,Rh1-,Ca1+
ScRh,Rh1-,Sc1+
TiRh,Rh1-,Ti1+
VRh,Rh1-,V1+
CrRh,Rh1-,Cr1+
MnRh,Rh1-,Mn1+
FeRh,Rh1-,Fe1+
CoRh,Rh1-,Co1+
NiRh,Rh1-,Ni1+
CuRh,Rh1-,Cu1+
ZnRh,Rh1-,Zn1+
GaRh,Rh1-,Ga1+
GeRh,Rh1-,Ge1+
AsRh,Rh1-,As1+
RhSe,Rh2+,Se2-
RhBr,Rh1+,Br1-
RbRh,Rh1-,Rb1+
SrRh,Rh1-,Sr1+
YRh,Rh1-,Y1+
ZrRh,Rh1-,Zr1+
NbRh,Rh1-,Nb1+
MoRh,Rh1-,Mo1+
RuRh,Rh1-,Ru1+
PdRh,Rh1-,Pd1+
AgRh,Rh1-,Ag1+
CdRh,Rh1-,Cd1+
InRh,Rh1-,In1+
RhI,Rh1+,I1-
CsRh,Rh1-,Cs1+
GdRh,Rh1-,Gd1+
TbRh,Rh1-,Tb1+
RhW,Rh1-,W1+
ReRh,Rh1-,Re1+
OsRh,Rh1-,Os1+
IrRh,Rh1-,Ir1+
PtRh,Rh1-,Pt1+
RhAu,Rh1+,Au1-
HgRh,Rh1-,Hg1+
TlRh,Rh1-,Tl1+
BiRh,Rh1-,Bi1+
PdC,Pd1+,C1-
PdC,Pd2+,C2-
PdC,Pd4+,C4-
PdN,Pd1+,N1-
PdN,Pd2+,N2-
PdO,Pd1+,O1-
PdO,Pd2+,O2-
PdF,Pd1+,F1-
PdS,Pd1+,S1-
PdS,Pd2+,S2-
PdCl,Pd1+,Cl1-
PdSe,Pd2+,Se2-
PdBr,Pd1+,Br1-
PdRh,Pd1+,Rh1-
PdI,Pd1+,I1-
PdAu,Pd1+,Au1-
AgH,Ag1+,H1-
AgC,Ag1+,C1-
AgC,Ag2+,C2-
AgC,Ag3+,C3-
AgC,Ag4+,C4-
AgN,Ag1+,N1-
AgN,Ag2+,N2-
AgN,Ag3+,N3-
AgO,Ag1+,O1-
AgO,Ag2+,O2-
AgF,Ag1+,F1-
AgP,Ag1+,P1-
AgP,Ag2+,P2-
AgP,Ag3+,P3-
AgS,Ag1+,S1-
AgS,Ag2+,S2-
AgCl,Ag1+,Cl1-
AgGe,Ag1+,Ge1-
AgGe,Ag2+,Ge2-
AgGe,Ag3+,Ge3-
AgGe,Ag4+,Ge4-
AgAs,Ag3+,As3-
AgSe,Ag2+,Se2-
AgBr,Ag1+,Br1-
AgMo,Ag1+,Mo1-
AgMo,Ag2+,Mo2-
AgRu,Ag2+,Ru2-
AgRh,Ag1+,Rh1-
AgSn,Ag4+,Sn4-
AgSb,Ag3+,Sb3-
AgTe,Ag2+,Te2-
AgI,Ag1+,I1-
AgOs,Ag1+,Os1-
AgOs,Ag2+,Os2-
AgIr,Ag1+,Ir1-
AgIr,Ag3+,Ir3-
AgPt,Ag1+,Pt1-
AgPt,Ag2+,Pt2-
AgAu,Ag1+,Au1-
CdH,Cd1+,H1-
CdC,Cd1+,C1-
CdC,Cd2+,C2-
CdN,Cd1+,N1-
CdN,Cd2+,N2-
CdO,Cd1+,O1-
CdO,Cd2+,O2-
CdF,Cd1+,F1-
CdSi,Cd1+,Si1-
CdSi,Cd2+,Si2-
CdP,Cd1+,P1-
CdP,Cd2+,P2-
CdS,Cd1+,S1-
CdS,Cd2+,S2-
CdCl,Cd1+,Cl1-
CdFe,Cd1+,Fe1-
CdFe,Cd2+,Fe2-
CdCo,Cd1+,Co1-
CdNi,Cd1+,Ni1-
CdGe,Cd1+,Ge1-
CdGe,Cd2+,Ge2-
CdSe,Cd2+,Se2-
CdBr,Cd1+,Br1-
CdMo,Cd1+,Mo1-
CdMo,Cd2+,Mo2-
CdRu,Cd2+,Ru2-
CdRh,Cd1+,Rh1-
CdTe,Cd2+,Te2-
CdI,Cd1+,I1-
CdW,Cd1+,W1-
CdW,Cd2+,W2-
CdRe,Cd1+,Re1-
CdOs,Cd1+,Os1-
CdOs,Cd2+,Os2-
CdIr,Cd1+,Ir1-
CdPt,Cd1+,Pt1-
CdPt,Cd2+,Pt2-
CdAu,Cd1+,Au1-
TlCd,Cd1+,Tl1-
InH,In1+,H1-
InC,In1+,C1-
InC,In2+,C2-
InC,In3+,C3-
InN,In1+,N1-
InN,In2+,N2-
InN,In3+,N3-
InO,In1+,O1-
InO,In2+,O2-
InF,In1+,F1-
InSi,In1+,Si1-
InSi,In2+,Si2-
InSi,In3+,Si3-
InP,In1+,P1-
InP,In2+,P2-
InP,In3+,P3-
InS,In1+,S1-
InS,In2+,S2-
InCl,In1+,Cl1-
InFe,In1+,Fe1-
InFe,In2+,Fe2-
InCo,In1+,Co1-
InNi,In1+,Ni1-
InGe,In1+,Ge1-
InGe,In2+,Ge2-
InGe,In3+,Ge3-
InAs,In3+,As3-
InSe,In2+,Se2-
InBr,In1+,Br1-
InMo,In1+,Mo1-
InMo,In2+,Mo2-
InRu,In2+,Ru2-
InRh,In1+,Rh1-
InSb,In3+,Sb3-
InTe,In2+,Te2-
InI,In1+,I1-
InRe,In1+,Re1-
InRe,In3+,Re3-
InOs,In1+,Os1-
InOs,In2+,Os2-
InIr,In1+,Ir1-
InIr,In3+,Ir3-
InPt,In1+,Pt1-
InPt,In2+,Pt2-
InAu,In1+,Au1-
TlIn,In1+,Tl1-
InBi,In3+,Bi3-
SnC,Sn2+,C2-
SnC,Sn4+,C4-
SnN,Sn2+,N2-
SnO,Sn2+,O2-
SiSn,Sn4-,Si4+
SnP,Sn2+,P2-
SnS,Sn2+,S2-
TiSn,Sn4-,Ti4+
VSn,Sn4-,V4+
CrSn,Sn4-,Cr4+
MnSn,Sn4-,Mn4+
FeSn,Sn4-,Fe4+
CoSn,Sn4-,Co4+
NiSn,Sn4-,Ni4+
CuSn,Sn4-,Cu4+
SnGe,Sn2+,Ge2-
SnGe,Sn4+,Ge4-
SnSe,Sn2+,Se2-
ZrSn,Sn4-,Zr4+
NbSn,Sn4-,Nb4+
SnMo,Sn2+,Mo2-
SnRu,Sn2+,Ru2-
AgSn,Sn4-,Ag4+
SnTe,Sn2+,Te2-
CeSn,Sn4-,Ce4+
PrSn,Sn4-,Pr4+
NdSn,Sn4-,Nd4+
TbSn,Sn4-,Tb4+
DySn,Sn4-,Dy4+
HfSn,Sn4-,Hf4+
TaSn,Sn4-,Ta4+
SnW,Sn4-,W4+
ReSn,Sn4-,Re4+
SnOs,Sn2+,Os2-
SnPt,Sn2+,Pt2-
SnHg,Sn4-,Hg4+
SnPb,Sn4-,Pb4+
BSb,Sb3-,B3+
SbC,Sb3+,C3-
SbN,Sb3+,N3-
AlSb,Sb3-,Al3+
SiSb,Sb3-,Si3+
SbP,Sb3+,P3-
ScSb,Sb3-,Sc3+
TiSb,Sb3-,Ti3+
VSb,Sb3-,V3+
CrSb,Sb3-,Cr3+
MnSb,Sb3-,Mn3+
FeSb,Sb3-,Fe3+
CoSb,Sb3-,Co3+
NiSb,Sb3-,Ni3+
CuSb,Sb3-,Cu3+
GaSb,Sb3-,Ga3+
GeSb,Sb3-,Ge3+
SbAs,Sb3+,As3-
YSb,Sb3-,Y3+
ZrSb,Sb3-,Zr3+
NbSb,Sb3-,Nb3+
AgSb,Sb3-,Ag3+
InSb,Sb3-,In3+
LaSb,Sb3-,La3+
CeSb,Sb3-,Ce3+
PrSb,Sb3-,Pr3+
NdSb,Sb3-,Nd3+
SmSb,Sb3-,Sm3+
EuSb,Sb3-,Eu3+
GdSb,Sb3-,Gd3+
TbSb,Sb3-,Tb3+
DySb,Sb3-,Dy3+
HoSb,Sb3-,Ho3+
ErSb,Sb3-,Er3+
TmSb,Sb3-,Tm3+
YbSb,Sb3-,Yb3+
LuSb,Sb3-,Lu3+
HfSb,Sb3-,Hf3+
TaSb,Sb3-,Ta3+
SbW,Sb3-,W3+
ReSb,Sb3-,Re3+
SbIr,Sb3+,Ir3-
TlSb,Sb3-,Tl3+
BiSb,Sb3-,Bi3+
BeTe,Te2-,Be2+
BTe,Te2-,B2+
TeC,Te2+,C2-
TeC,Te4+,C4-
TeN,Te2+,N2-
TeO,Te2+,O2-
MgTe,Te2-,Mg2+
AlTe,Te2-,Al2+
SiTe,Te2-,Si2+
TeP,Te2+,P2-
TeS,Te2+,S2-
CaTe,Te2-,Ca2+
ScTe,Te2-,Sc2+
TiTe,Te2-,Ti2+
VTe,Te2-,V2+
CrTe,Te2-,Cr2+
MnTe,Te2-,Mn2+
FeTe,Te2-,Fe2+
CoTe,Te2-,Co2+
NiTe,Te2-,Ni2+
CuTe,Te2-,Cu2+
ZnTe,Te2-,Zn2+
GaTe,Te2-,Ga2+
GeTe,Te2-,Ge2+
TeSe,Te2+,Se2-
SrTe,Te2-,Sr2+
YTe,Te2-,Y2+
ZrTe,Te2-,Zr2+
NbTe,Te2-,Nb2+
TeMo,Te2+,Mo2-
TeRu,Te2+,Ru2-
AgTe,Te2-,Ag2+
CdTe,Te2-,Cd2+
InTe,Te2-,In2+
SnTe,Te2-,Sn2+
BaTe,Te2-,Ba2+
LaTe,Te2-,La2+
CeTe,Te2-,Ce2+
PrTe,Te2-,Pr2+
NdTe,Te2-,Nd2+
SmTe,Te2-,Sm2+
EuTe,Te2-,Eu2+
GdTe,Te2-,Gd2+
TbTe,Te2-,Tb2+
DyTe,Te2-,Dy2+
HoTe,Te2-,Ho2+
ErTe,Te2-,Er2+
TmTe,Te2-,Tm2+
YbTe,Te2-,Yb2+
HfTe,Te2-,Hf2+
TaTe,Te2-,Ta2+
TeW,Te2-,W2+
ReTe,Te2-,Re2+
TeOs,Te2+,Os2-
TePt,Te2+,Pt2-
HgTe,Te2-,Hg2+
TePb,Te2-,Pb2+
HI,I1-,H1+
LiI,I1-,Li1+
BeI,I1-,Be1+
BI,I1-,B1+
CI,I1-,C1+
IN,I1+,N1-
IN,I3+,N3-
IO,I1+,O1-
IF,I1+,F1-
NaI,I1-,Na1+
MgI,I1-,Mg1+
AlI,I1-,Al1+
SiI,I1-,Si1+
PI,I1-,P1+
SI,I1-,S1+
ICl,I1+,Cl1-
KI,I1-,K1+
CaI,I1-,Ca1+
ScI,I1-,Sc1+
TiI,I1-,Ti1+
VI,I1-,V1+
CrI,I1-,Cr1+
MnI,I1-,Mn1+
FeI,I1-,Fe1+
CoI,I1-,Co1+
NiI,I1-,Ni1+
CuI,I1-,Cu1+
ZnI,I1-,Zn1+
GaI,I1-,Ga1+
GeI,I1-,Ge1+
AsI,I1-,As1+
SeI,I1-,Se1+
IBr,I1+,Br1-
RbI,I1-,Rb1+
SrI,I1-,Sr1+
YI,I1-,Y1+
ZrI,I1-,Zr1+
NbI,I1-,Nb1+
MoI,I1-,Mo1+
RuI,I1-,Ru1+
RhI,I1-,Rh1+
PdI,I1-,Pd1+
AgI,I1-,Ag1+
CdI,I1-,Cd1+
InI,I1-,In1+
CsI,I1-,Cs1+
GdI,I1-,Gd1+
TbI,I1-,Tb1+
WI,I1-,W1+
ReI,I1-,Re1+
OsI,I1-,Os1+
IrI,I1-,Ir1+
PtI,I1-,Pt1+
AuI,I1-,Au1+
HgI,I1-,Hg1+
TlI,I1-,Tl1+
BiI,I1-,Bi1+
CsH,Cs1+,H1-
CsC,Cs1+,C1-
CsN,Cs1+,N1-
Cs2O2,Cs1+,O1-
CsF,Cs1+,F1-
CsNa,Cs1+,Na1-
CsSi,Cs1+,Si1-
CsP,Cs1+,P1-
CsS,Cs1+,S1-
CsCl,Cs1+,Cl1-
CsK,Cs1+,K1-
CsTi,Cs1+,Ti1-
CsV,Cs1+,V1-
CsCr,Cs1+,Cr1-
CsMn,Cs1+,Mn1-
CsFe,Cs1+,Fe1-
CsCo,Cs1+,Co1-
CsNi,Cs1+,Ni1-
CsGe,Cs1+,Ge1-
CsBr,Cs1+,Br1-
CsRb,Cs1+,Rb1-
CsZr,Cs1-,Zr1+
CsNb,Cs1+,Nb1-
CsMo,Cs1+,Mo1-
CsRh,Cs1+,Rh1-
CsI,Cs1+,I1-
CsTa,Cs1+,Ta1-
CsW,Cs1+,W1-
CsRe,Cs1+,Re1-
CsOs,Cs1+,Os1-
CsIr,Cs1+,Ir1-
CsPt,Cs1+,Pt1-
CsAu,Cs1+,Au1-
CsTl,Cs1+,Tl1-
BaC,Ba2+,C2-
BaN,Ba2+,N2-
BaO,Ba2+,O2-
BaSi,Ba2+,Si2-
BaP,Ba2+,P2-
BaS,Ba2+,S2-
BaCr,Ba2+,Cr2-
BaMn,Ba2+,Mn2-
BaFe,Ba2+,Fe2-
BaGe,Ba2+,Ge2-
BaSe,Ba2+,Se2-
BaMo,Ba2+,Mo2-
BaRu,Ba2+,Ru2-
BaTe,Ba2+,Te2-
BaW,Ba2+,W2-
BaOs,Ba2+,Os2-
BaPt,Ba2+,Pt2-
LaC,La2+,C2-
LaC,La3+,C3-
LaN,La2+,N2-
LaN,La3+,N3-
LaO,La2+,O2-
LaSi,La2+,Si2-
LaSi,La3+,Si3-
LaP,La2+,P2-
LaP,La3+,P3-
LaS,La2+,S2-
LaCr,La2+,Cr2-
LaMn,La2+,Mn2-
LaMn,La3+,Mn3-
LaFe,La2+,Fe2-
LaGe,La2+,Ge2-
LaGe,La3+,Ge3-
LaAs,La3+,As3-
LaSe,La2+,Se2-
LaMo,La2+,Mo2-
LaRu,La2+,Ru2-
LaSb,La3+,Sb3-
LaTe,La2+,Te2-
LaW,La2+,W2-
LaRe,La3+,Re3-
LaOs,La2+,Os2-
LaIr,La3+,Ir3-
LaPt,La2+,Pt2-
LaBi,La3+,Bi3-
CeC,Ce2+,C2-
CeC,Ce3+,C3-
CeC,Ce4+,C4-
CeN,Ce2+,N2-
CeN,Ce3+,N3-
CeO,Ce2+,O2-
CeSi,Ce2+,Si2-
CeSi,Ce3+,Si3-
CeSi,Ce4+,Si4-
CeP,Ce2+,P2-
CeP,Ce3+,P3-
CeS,Ce2+,S2-
CeCr,Ce2+,Cr2-
CeMn,Ce2+,Mn2-
CeMn,Ce3+,Mn3-
CeFe,Ce2+,Fe2-
CeGe,Ce2+,Ge2-
CeGe,Ce3+,Ge3-
CeGe,Ce4+,Ge4-
CeAs,Ce3+,As3-
CeSe,Ce2+,Se2-
CeMo,Ce2+,Mo2-
CeRu,Ce2+,Ru2-
CeSn,Ce4+,Sn4-
CeSb,Ce3+,Sb3-
CeTe,Ce2+,Te2-
CeW,Ce2+,W2-
CeRe,Ce3+,Re3-
CeOs,Ce2+,Os2-
CeIr,Ce3+,Ir3-
CePt,Ce2+,Pt2-
CePb,Ce4+,Pb4-
CeBi,Ce3+,Bi3-
PrC,Pr2+,C2-
PrC,Pr3+,C3-
PrC,Pr4+,C4-
PrN,Pr2+,N2-
PrN,Pr3+,N3-
PrO,Pr2+,O2-
PrSi,Pr2+,Si2-
PrSi,Pr3+,Si3-
PrSi,Pr4+,Si4-
PrP,Pr2+,P2-
PrP,Pr3+,P3-
PrS,Pr2+,S2-
PrCr,Pr2+,Cr2-
PrMn,Pr2+,Mn2-
PrMn,Pr3+,Mn3-
PrFe,Pr2+,Fe2-
PrGe,Pr2+,Ge2-
PrGe,Pr3+,Ge3-
PrGe,Pr4+,Ge4-
PrAs,Pr3+,As3-
PrSe,Pr2+,Se2-
PrMo,Pr2+,Mo2-
PrRu,Pr2+,Ru2-
PrSn,Pr4+,Sn4-
PrSb,Pr3+,Sb3-
PrTe,Pr2+,Te2-
PrW,Pr2+,W2-
PrRe,Pr3+,Re3-
PrOs,Pr2+,Os2-
PrIr,Pr3+,Ir3-
PrPt,Pr2+,Pt2-
PrPb,Pr4+,Pb4-
PrBi,Pr3+,Bi3-
NdC,Nd2+,C2-
NdC,Nd3+,C3-
NdC,Nd4+,C4-
NdN,Nd2+,N2-
NdN,Nd3+,N3-
NdO,Nd2+,O2-
NdSi,Nd2+,Si2-
NdSi,Nd3+,Si3-
NdSi,Nd4+,Si4-
NdP,Nd2+,P2-
NdP,Nd3+,P3-
NdS,Nd2+,S2-
NdCr,Nd2+,Cr2-
NdMn,Nd2+,Mn2-
NdMn,Nd3+,Mn3-
NdFe,Nd2+,Fe2-
NdGe,Nd2+,Ge2-
NdGe,Nd3+,Ge3-
NdGe,Nd4+,Ge4-
NdAs,Nd3+,As3-
NdSe,Nd2+,Se2-
NdMo,Nd2+,Mo2-
NdRu,Nd2+,Ru2-
NdSn,Nd4+,Sn4-
NdSb,Nd3+,Sb3-
NdTe,Nd2+,Te2-
NdW,Nd2+,W2-
NdRe,Nd3+,Re3-
NdOs,Nd2+,Os2-
NdIr,Nd3+,Ir3-
NdPt,Nd2+,Pt2-
NdPb,Nd4+,Pb4-
NdBi,Nd3+,Bi3-
SmC,Sm2+,C2-
SmC,Sm3+,C3-
SmN,Sm2+,N2-
SmN,Sm3+,N3-
SmO,Sm2+,O2-
SmSi,Sm2+,Si2-
SmSi,Sm3+,Si3-
SmP,Sm2+,P2-
SmP,Sm3+,P3-
SmS,Sm2+,S2-
SmCr,Sm2+,Cr2-
SmMn,Sm2+,Mn2-
SmMn,Sm3+,Mn3-
SmFe,Sm2+,Fe2-
SmGe,Sm2+,Ge2-
SmGe,Sm3+,Ge3-
SmAs,Sm3+,As3-
SmSe,Sm2+,Se2-
SmMo,Sm2+,Mo2-
SmRu,Sm2+,Ru2-
SmSb,Sm3+,Sb3-
SmTe,Sm2+,Te2-
SmW,Sm2+,W2-
SmRe,Sm3+,Re3-
SmOs,Sm2+,Os2-
SmIr,Sm3+,Ir3-
SmPt,Sm2+,Pt2-
SmBi,Sm3+,Bi3-
EuC,Eu2+,C2-
EuC,Eu3+,C3-
EuN,Eu2+,N2-
EuN,Eu3+,N3-
EuO,Eu2+,O2-
EuSi,Eu2+,Si2-
EuSi,Eu3+,Si3-
EuP,Eu2+,P2-
EuP,Eu3+,P3-
EuS,Eu2+,S2-
EuCr,Eu2+,Cr2-
EuMn,Eu2+,Mn2-
EuMn,Eu3+,Mn3-
EuFe,Eu2+,Fe2-
EuGe,Eu2+,Ge2-
EuGe,Eu3+,Ge3-
EuAs,Eu3+,As3-
EuSe,Eu2+,Se2-
EuMo,Eu2+,Mo2-
EuRu,Eu2+,Ru2-
EuSb,Eu3+,Sb3-
EuTe,Eu2+,Te2-
EuW,Eu2+,W2-
EuRe,Eu3+,Re3-
EuOs,Eu2+,Os2-
EuIr,Eu3+,Ir3-
EuPt,Eu2+,Pt2-
EuBi,Eu3+,Bi3-
GdH,Gd1+,H1-
GdC,Gd1+,C1-
GdC,Gd2+,C2-
GdC,Gd3+,C3-
GdN,Gd1+,N1-
GdN,Gd2+,N2-
GdN,Gd3+,N3-
GdO,Gd1+,O1-
GdO,Gd2+,O2-
GdF,Gd1+,F1-
GdSi,Gd1+,Si1-
GdSi,Gd2+,Si2-
GdSi,Gd3+,Si3-
GdP,Gd1+,P1-
GdP,Gd2+,P2-
GdP,Gd3+,P3-
GdS,Gd1+,S1-
GdS,Gd2+,S2-
GdCl,Gd1+,Cl1-
GdTi,Gd1+,Ti1-
GdV,Gd1+,V1-
GdCr,Gd1+,Cr1-
GdCr,Gd2+,Cr2-
GdMn,Gd1+,Mn1-
GdMn,Gd2+,Mn2-
GdMn,Gd3+,Mn3-
GdFe,Gd1+,Fe1-
GdFe,Gd2+,Fe2-
GdCo,Gd1+,Co1-
GdNi,Gd1+,Ni1-
GdGe,Gd1+,Ge1-
GdGe,Gd2+,Ge2-
GdGe,Gd3+,Ge3-
GdAs,Gd3+,As3-
GdSe,Gd2+,Se2-
GdBr,Gd1+,Br1-
GdNb,Gd1+,Nb1-
GdMo,Gd1+,Mo1-
GdMo,Gd2+,Mo2-
GdRu,Gd2+,Ru2-
GdRh,Gd1+,Rh1-
GdSb,Gd3+,Sb3-
GdTe,Gd2+,Te2-
GdI,Gd1+,I1-
GdTa,Gd1+,Ta1-
GdW,Gd1+,W1-
GdW,Gd2+,W2-
GdRe,Gd1+,Re1-
GdRe,Gd3+,Re3-
GdOs,Gd1+,Os1-
GdOs,Gd2+,Os2-
GdIr,Gd1+,Ir1-
GdIr,Gd3+,Ir3-
GdPt,Gd1+,Pt1-
GdPt,Gd2+,Pt2-
GdAu,Gd1+,Au1-
GdTl,Gd1+,Tl1-
GdBi,Gd3+,Bi3-
TbH,Tb1+,H1-
TbC,Tb1+,C1-
TbC,Tb2+,C2-
TbC,Tb3+,C3-
TbC,Tb4+,C4-
TbN,Tb1+,N1-
TbN,Tb2+,N2-
TbN,Tb3+,N3-
TbO,Tb1+,O1-
TbO,Tb2+,O2-
TbF,Tb1+,F1-
TbSi,Tb1+,Si1-
TbSi,Tb2+,Si2-
TbSi,Tb3+,Si3-
TbSi,Tb4+,Si4-
TbP,Tb1+,P1-
TbP,Tb2+,P2-
TbP,Tb3+,P3-
TbS,Tb1+,S1-
TbS,Tb2+,S2-
TbCl,Tb1+,Cl1-
TbTi,Tb1+,Ti1-
TbV,Tb1+,V1-
